ratio,neighbor_count,precision_non_default,recall_non_default,precision_default,recall_default
0.1,3,0.9210261771683622,0.9642992464109796,0.2593886462882096,0.13135780628040689
0.1,4,0.9167089695029091,0.9883383151601903,0.3160493827160494,0.05661211853162318
0.1,5,0.9198257080610022,0.9776028291163221,0.3081924577373212,0.10482087571870853
0.1,6,0.9162966425177222,0.9904012124784238,0.32941176470588235,0.04953560371517028
0.1,7,0.9186787259142745,0.9835389213994021,0.3304794520547945,0.08536045997346307
0.1,8,0.9159827297833444,0.9914116111649055,0.33114754098360655,0.04467049977885891
0.1,9,0.9180404902690215,0.9869911169115481,0.3522012578616352,0.07430340557275542
0.1,10,0.915463437354448,0.9929693091398981,0.332,0.0367094206103494
0.1,11,0.9172098832897458,0.9892645139561319,0.35443037974683544,0.06191950464396285
0.1,12,0.9155934833204035,0.9937271081547594,0.36324786324786323,0.03759398496240601
0.1,13,0.9167803015545253,0.9906538121500442,0.36023054755043227,0.055285272003538256
0.1,14,0.9155524551408751,0.9945691070601608,0.3886255924170616,0.0362671384343211
0.1,15,0.9166699070653653,0.9924641097966572,0.39730639730639733,0.05218929677134011
0.1,16,0.9155753583882216,0.9948638066770513,0.4019607843137255,0.0362671384343211
0.1,17,0.9160939623374103,0.9933061087020587,0.3861003861003861,0.044228217602830605
0.1,18,0.9152181487360148,0.995284806129752,0.3879781420765027,0.03140203449800973
0.1,19,0.9160136550546978,0.99410600766219,0.4067796610169492,0.042459088898717384
0.2,3,0.9259733606557377,0.9165434185506022,0.23745173745173745,0.26181353767560667
0.2,4,0.9189798960557592,0.9638706951193746,0.28331936295054483,0.14389101745423585
0.2,5,0.9252215348603913,0.9353475596873019,0.2679425837320574,0.23839931885908897
0.2,6,0.9197354091880773,0.9635748996408198,0.294021294021294,0.1528309919114517
0.2,7,0.9235155572083799,0.9444327065286288,0.2746828461114175,0.2120051085568327
0.2,8,0.9195943498732343,0.9656032114937672,0.3012875536480687,0.14942528735632185
0.2,9,0.923490318345914,0.9512360025353899,0.2954822954822955,0.20604512558535548
0.2,10,0.9197942618339628,0.9672512148742869,0.3129432624113475,0.1502767134951043
0.2,11,0.9229073091057575,0.9550813437566026,0.30249343832021,0.19625372498935717
0.2,12,0.9197332476297606,0.9674202408620325,0.31283422459893045,0.14942528735632185
0.2,13,0.922723016163837,0.9576589900697232,0.3103922918100482,0.19199659429544488
0.2,14,0.920366426935594,0.9679695753222058,0.32622222222222225,0.15623669646658153
0.2,15,0.9227739656502497,0.9603634058736531,0.3227436823104693,0.19029374201787994
0.2,16,0.9205399108183023,0.968307627297697,0.33095450490633366,0.15793954874414645
0.2,17,0.923339288614585,0.9609127403338263,0.33261183261183264,0.19625372498935717
0.2,18,0.9207737999678921,0.96944855271498,0.34153005464480873,0.15964240102171137
0.2,19,0.923270134500081,0.9630255651806465,0.34210526315789475,0.1936994465730098
0.30000000000000004,3,0.9332972289917862,0.8736059479553904,0.22406639004149378,0.36891545687446625
0.30000000000000004,4,0.9258486075737965,0.9367607299763434,0.27435773145904024,0.24167378309137488
0.30000000000000004,5,0.9339152669399992,0.8948969246367016,0.25307715400780545,0.3599487617421008
0.30000000000000004,6,0.9272362313386024,0.9366762419736397,0.2865302237029986,0.25704526046114434
0.30000000000000004,7,0.9336352551820241,0.9057113889827645,0.26819672131147543,0.3492741246797609
0.30000000000000004,8,0.9281223805532272,0.9354934099357891,0.29108635097493035,0.2677198975234842
0.30000000000000004,9,0.9339679792297707,0.9117945251774248,0.2809917355371901,0.3484201537147737
0.30000000000000004,10,0.9291041649208078,0.9367184859749915,0.3026070763500931,0.2775405636208369
0.30000000000000004,11,0.93358584771661,0.9162723893207164,0.2873067241999281,0.3411614005123826
0.30000000000000004,12,0.929205764075067,0.9370564379858061,0.30438842203548083,0.2783945345858241
0.30000000000000004,13,0.9331990744708201,0.9200321054410274,0.29260089686098656,0.33432963279248507
0.30000000000000004,14,0.9296678409662809,0.9364227779655289,0.3064516129032258,0.2839453458582408
0.30000000000000004,15,0.9325410396716827,0.9215106454883406,0.2913806254767353,0.32621690862510677
0.30000000000000004,16,0.9302823104996015,0.936845217979047,0.31264367816091954,0.29035012809564475
0.30000000000000004,17,0.9329863925265538,0.9239607975667455,0.2998833138856476,0.3292058070025619
0.30000000000000004,18,0.9298091042584434,0.9362115579587699,0.3070215695273061,0.2856532877882152
0.30000000000000004,19,0.9324784868364999,0.9246789455897263,0.2980314960629921,0.3232280102476516
0.4,3,0.9382248634141666,0.8269409478753063,0.20415695415695415,0.44914529914529916
0.4,4,0.9300065090041224,0.9052969502407705,0.24486359043448971,0.3106837606837607
0.4,5,0.9387163173652695,0.8475965193883586,0.22207848210435532,0.44017094017094016
0.4,6,0.9325003276683123,0.9015797921770718,0.2544,0.33974358974358976
0.4,7,0.9387434796657896,0.8590014361747065,0.23282004136980006,0.4329059829059829
0.4,8,0.9335026047366808,0.9007349835262313,0.2589088615578682,0.35085470085470083
0.4,9,0.9388558352402746,0.8665202331671876,0.24111431316042267,0.42905982905982903
0.4,10,0.9351965601965602,0.9003548196333531,0.26784605834885167,0.3688034188034188
0.4,11,0.9398643419674967,0.8720959702627354,0.25179145045712875,0.4354700854700855
0.4,12,0.9353336554935641,0.8993410492523444,0.2669947708397416,0.37094017094017095
0.4,13,0.9395188692067231,0.8759820900566022,0.25501141842172037,0.42948717948717946
0.4,14,0.9364520529859613,0.89883416406184,0.27225767243998783,0.38290598290598293
0.4,15,0.9398102123813827,0.878516516009124,0.25952626158599384,0.4307692307692308
0.4,16,0.9373322184570699,0.8996789727126806,0.2783348526283804,0.39145299145299145
0.4,17,0.9403791597244112,0.8821069527751965,0.26687680588389806,0.4341880341880342
0.4,18,0.9381923685598734,0.9014953113119878,0.2859767299448867,0.39914529914529917
0.4,19,0.940766707114287,0.8842189744022979,0.27159181504119057,0.43675213675213675
0.5,3,0.9454836450935281,0.7974688884201645,0.20249169435215947,0.5279341706366393
0.5,4,0.9352883060894557,0.8785910145538915,0.23171382808328883,0.37592031182330016
0.5,5,0.9461051391547637,0.8131195950221473,0.21467824853749334,0.5244694673018623
0.5,6,0.9379028597367226,0.871630457709344,0.23619477911646586,0.4075357297531399
0.5,7,0.9467774861475649,0.8217253743935878,0.22316176470588237,0.5257687310524036
0.5,8,0.9403524834058137,0.866568234549673,0.24130486927320702,0.4356864443482027
0.5,9,0.9481391976800386,0.8275469310272094,0.23215627347858753,0.5352966652230403
0.5,10,0.942691830830693,0.8660198270407087,0.2504130280859098,0.4595062797747943
0.5,11,0.9474416151153311,0.8334528580468256,0.23503197054834335,0.5253356431355565
0.5,12,0.9430871865654474,0.8647120860577937,0.2505258237906053,0.4642702468601126
0.5,13,0.9474238147634311,0.8354355621176967,0.23674427704950107,0.5240363793850151
0.5,14,0.9438031030661249,0.8622231596709555,0.2505736576411198,0.472932005197055
0.5,15,0.9485455412494039,0.8391056739084581,0.24385408406026962,0.5326981377219575
0.5,16,0.9444777495964952,0.8639949377768403,0.2552552552552553,0.47856214811606756
0.5,17,0.9481939163498099,0.8415946002952963,0.24507438681141938,0.5279341706366393
0.5,18,0.9454738690448685,0.8631512339168952,0.2581751657900755,0.48895625812039845
0.5,19,0.9495762511244733,0.8460662307530057,0.2542407520948293,0.5387613685578172
0.6,3,0.9475235538712564,0.7607979038120193,0.1931575196008553,0.5761054421768708
0.6,4,0.9383571196132211,0.8530555320767476,0.22784810126582278,0.4362244897959184
0.6,5,0.9498215301846774,0.7759699095596315,0.20679335627712106,0.5875850340136054
0.6,6,0.9421620598258236,0.8412644746851492,0.23127302496930005,0.4804421768707483
0.6,7,0.9508624660899831,0.7850984701208689,0.21491431218156554,0.5918367346938775
0.6,8,0.9460376637032788,0.8364888851322796,0.24018067556952083,0.5199829931972789
0.6,9,0.9519897959183673,0.7885639421857831,0.2199875272840661,0.5999149659863946
0.6,10,0.9470189115057023,0.83171329557941,0.23905981272692528,0.5318877551020408
0.6,11,0.9518874155362496,0.7918181049784464,0.22192386668772707,0.5973639455782312
0.6,12,0.9484486180357229,0.8280787760966951,0.24033613445378152,0.5471938775510204
0.6,13,0.952583802424058,0.7938466739920548,0.22509928514694202,0.6024659863945578
0.6,14,0.9488137402357965,0.8264728256275885,0.24005182306126227,0.5514455782312925
0.6,15,0.9529157014805116,0.7997210717606289,0.2301819363222872,0.6024659863945578
0.6,16,0.9494738883770547,0.8275293719888429,0.2429975885735485,0.5569727891156463
0.6,17,0.9531784349225508,0.8009889273941341,0.23181076672104406,0.6041666666666666
0.6,18,0.9499149866407578,0.8263883019186882,0.24332289556087677,0.5616496598639455
0.6,19,0.9536962635596625,0.8025526160087905,0.23434939364142904,0.6079931972789115
0.7000000000000001,3,0.9475266466247608,0.7327640867396542,0.18098199248607333,0.5927025880356386
0.7000000000000001,4,0.9396444017299376,0.8265629623367291,0.21156802459646426,0.4671192193466271
0.7000000000000001,5,0.9489707942666236,0.744430823857632,0.18910944206008584,0.5982180738226559
0.7000000000000001,6,0.942353804746758,0.8140085386989052,0.21132819501702815,0.5002121340687314
0.7000000000000001,7,0.9509803921568627,0.7503487339899395,0.19624387588459444,0.611794654221468
0.7000000000000001,8,0.9457756610606737,0.8058502768736526,0.21581014171077342,0.5362749257530759
0.7000000000000001,9,0.953360401752324,0.7543221879359174,0.20339912280701755,0.6296139159949088
0.7000000000000001,10,0.9482603028176075,0.7995096588747517,0.21835860250494396,0.5621552821383115
0.7000000000000001,11,0.9536593160754234,0.7568161643488185,0.2053867403314917,0.6308867204072974
0.7000000000000001,12,0.9490484341959521,0.7968043285285539,0.21862808842652795,0.5706406448875689
0.7000000000000001,13,0.9540223789574164,0.7604514520015218,0.20818778817940478,0.6321595248196861
0.7000000000000001,14,0.9503291139240506,0.7933803948091473,0.21966794380587484,0.5837929571489181
0.7000000000000001,15,0.9535858264375132,0.7599019317749504,0.20692543982127898,0.628765379719983
0.7000000000000001,16,0.9507045836088925,0.7899564610897409,0.21834198521315085,0.5888841747984727
0.7000000000000001,17,0.9541260076368264,0.7604937227881811,0.208438111204247,0.6330080610946118
0.7000000000000001,18,0.9510653481496585,0.7886883374899607,0.21841776110068792,0.5927025880356386
0.7000000000000001,19,0.9539070749736008,0.763706302574291,0.2097823013853548,0.6296139159949088
0.8,3,0.9543985026374,0.7094013490725126,0.17774066563282834,0.6495204882301656
0.8,4,0.9456178444532175,0.807841483979764,0.20730434782608695,0.5196163905841326
0.8,5,0.9568244343383302,0.7184654300168634,0.18590759478239668,0.6647776809067132
0.8,6,0.950794775741622,0.7918212478920742,0.21118210862619807,0.5762859633827376
0.8,7,0.9590754285076211,0.7241989881956156,0.19264469949401455,0.6804707933740192
0.8,8,0.9537860484244075,0.7822091062394604,0.21262002743484226,0.6081081081081081
0.8,9,0.9595292288902459,0.7286677908937605,0.19560054993125858,0.6822144725370531
0.8,10,0.9540372670807453,0.7770657672849915,0.21003884075291307,0.6129032258064516
0.8,11,0.9595937170450131,0.7288785834738617,0.19582343378767036,0.6826503923278117
0.8,12,0.9553291536050157,0.7708684654300169,0.20933954029677043,0.6272885789014822
0.8,13,0.9593343619131585,0.7339797639123102,0.19781337401474702,0.6782911944202267
0.8,14,0.9555788370874804,0.7690556492411467,0.20883882149046792,0.6303400174367916
0.8,15,0.9601166244911431,0.7357925801011804,0.20022970903522205,0.6839581517000872
0.8,16,0.9573180358928477,0.7668634064080945,0.21146442321403108,0.6464690496948562
0.8,17,0.9603650156670881,0.7365092748735245,0.2010737568707657,0.6857018308631212
0.8,18,0.9576414595452142,0.7634485666104553,0.21016328828828829,0.6508282476024412
0.8,19,0.9605190806114594,0.736424957841484,0.2013285641287685,0.6870095902353966
0.9,3,0.9561503076647351,0.6747754964374552,0.16830188679245284,0.6801742919389978
0.9,4,0.946848469256496,0.7758337198026898,0.19182246542027664,0.5498910675381263
0.9,5,0.9577198273313228,0.6828281124836629,0.1735691530264748,0.6884531590413944
0.9,6,0.9511397214014352,0.7599814494708883,0.19385443217218917,0.5965141612200435
0.9,7,0.9603576049876485,0.6883932712171676,0.17987128273413228,0.706318082788671
0.9,8,0.9558332435635032,0.7481765673089085,0.19803974221267454,0.6427015250544662
0.9,9,0.9614977662826241,0.6896159197268013,0.18218173739169075,0.7145969498910676
0.9,10,0.9567182055749129,0.7408828365445423,0.19618100967826316,0.6535947712418301
0.9,11,0.9630280658580888,0.6929465829082171,0.185984128758243,0.7250544662309368
0.9,12,0.9586926668497665,0.7358236013322653,0.19759252144960943,0.6723311546840959
0.9,13,0.9632657828651522,0.6953918799274843,0.18738049713193117,0.725925925925926
0.9,14,0.9603117572273506,0.7324507778574139,0.19904076738609114,0.6871459694989107
0.9,15,0.9636745897331075,0.6956870019815338,0.18816781014509054,0.7289760348583878
0.9,16,0.9608485588937635,0.7294573970234833,0.19857624578493818,0.6928104575163399
0.9,17,0.9640771028037384,0.6958556431552764,0.18889138745221498,0.7320261437908496
0.9,18,0.9611590972415714,0.7271807411779586,0.1980418887098773,0.6962962962962963
0.9,19,0.9639376787068915,0.6964458872633753,0.18891517404528557,0.730718954248366
1.0,3,0.9580001220926684,0.6621518987341772,0.16879476798505139,0.7026793431287813
1.0,4,0.9499527360571368,0.7632489451476793,0.19520940906483075,0.5881590319792567
1.0,5,0.9615174174721868,0.6673417721518987,0.17574490329325668,0.726447709593777
1.0,6,0.9539943710759905,0.7437130801687764,0.19421597240647387,0.6326707000864304
1.0,7,0.96394640682095,0.6678481012658228,0.1794871794871795,0.7441659464131374
1.0,8,0.9588866048113784,0.7282278481012658,0.19638178415470992,0.6802074330164217
1.0,9,0.9645031660983926,0.6683966244725739,0.1805005213764338,0.7480553154710458
1.0,10,0.9604312485888462,0.7179324894514768,0.19438418896119547,0.6970613656006914
1.0,11,0.9657421517829929,0.6684810126582279,0.1823290665001561,0.7571305099394987
1.0,12,0.9616283710587833,0.7116455696202532,0.19362831858407079,0.709161624891962
1.0,13,0.9667195896433806,0.6679746835443038,0.18354430379746836,0.7644770959377701
1.0,14,0.9627693191611606,0.7070464135021097,0.1935184109652689,0.7199654278305964
1.0,15,0.9679075738125802,0.6681012658227848,0.18529259451061625,0.7731201382886776
1.0,16,0.9651856571858889,0.7030379746835443,0.19574905725059993,0.740276577355229
1.0,17,0.9686262564727384,0.6708860759493671,0.18741535576622564,0.7774416594641314
1.0,18,0.9652927155397942,0.7005907172995781,0.19482582548507887,0.7420051858254105
1.0,19,0.9675810473815462,0.6712236286919832,0.18604408231484384,0.7696629213483146
